user_id,first_name,last_name,date_start,date_end,ctc,net_pay,gross_pay,data_salary_basic_rate,data_salary_basic_type,currency,status,created_at
74042,"","",2021-12-01,2021-12-31,2804051,2804051,2804051,2500000,monthly,IDR,approved,2021-12-28 04:08:14
74053,"","",2021-12-01,2021-12-31,3975805,3975805,3975805,3500000,monthly,IDR,approved,2021-12-28 05:39:43
74052,"","",2021-12-01,2021-12-31,1820000,1820000,1820000,1800000,monthly,IDR,approved,2022-01-04 04:45:38
75963,"","",2021-12-01,2021-12-31,292500,292500,292500,90000,daily,IDR,approved,2022-01-04 04:54:28
83884,"","",2021-12-01,2021-12-31,600000,600000,600000,3000000,monthly,IDR,approved,2022-01-04 04:55:59
75983,"","",2021-12-01,2021-12-31,633750,633750,633750,90000,daily,IDR,approved,2022-01-04 05:00:39
75955,"","",2021-12-01,2021-12-31,616500,616500,616500,90000,daily,IDR,approved,2022-01-04 05:07:54
74138,"","",2021-12-01,2021-12-31,968500,968500,968500,1000000,monthly,IDR,approved,2022-01-04 05:13:08
74025,"","",2021-12-01,2021-12-31,1943500,1943500,1943500,2000000,monthly,IDR,approved,2022-01-04 05:17:16
74027,"","",2021-12-01,2021-12-31,3406000,3406000,3406000,3500000,monthly,IDR,approved,2022-01-04 05:18:31
74044,"","",2021-12-01,2021-12-31,4017262,4017262,4017262,3500000,monthly,IDR,approved,2022-01-04 05:26:03
79765,"","",2021-12-01,2021-12-31,2010000,2010000,2010000,65000,daily,IDR,approved,2022-01-04 05:47:01
79738,"","",2021-12-01,2021-12-31,1765000,1765000,1765000,65000,daily,IDR,approved,2022-01-04 05:47:22
75986,"","",2021-12-01,2021-12-31,614250,614250,614250,90000,daily,IDR,approved,2022-01-04 06:45:55
75218,"","",2021-12-01,2021-12-31,193182.4166666667,193182.42,193182.4166666667,12500,hourly,IDR,approved,2022-01-04 06:47:52
74054,"","",2021-12-01,2021-12-31,1186588,1186588,1186588,45000,daily,IDR,approved,2022-01-04 06:57:55
75952,"","",2021-12-01,2021-12-31,1992854,1992854,1992854,9000,hourly,IDR,approved,2022-01-04 07:45:31
83893,"","",2021-12-01,2021-12-31,290000,290000,290000,65000,daily,IDR,approved,2022-01-05 04:32:05
83894,"","",2021-12-01,2021-12-31,400000,400000,400000,65000,daily,IDR,approved,2022-01-05 04:43:54
74050,"","",2021-12-01,2021-12-31,3280000,3280000,3280000,1800000,monthly,IDR,approved,2022-01-05 04:53:33
74049,"","",2021-12-01,2021-12-31,2130000,2130000,2130000,1800000,monthly,IDR,approved,2022-01-05 04:57:20
74465,"","",2021-12-01,2021-12-31,1234051,1234051,1234051,45000,daily,IDR,approved,2022-01-05 04:58:46
83888,"","",2021-12-01,2021-12-31,202391,202391,202391,65000,daily,IDR,approved,2022-01-05 05:00:33
83902,"","",2021-12-01,2021-12-31,478500,478500,478500,2500000,monthly,IDR,approved,2022-01-05 05:03:46
83885,"","",2021-12-01,2021-12-31,612318,612318,612318,3000000,monthly,IDR,approved,2022-01-05 05:40:27
74556,"","",2021-12-01,2021-12-31,1909051,1909051,1909051,1800000,monthly,IDR,approved,2022-01-05 05:44:20
75848,"","",2021-12-01,2021-12-31,1579500,1579500,1579500,90000,daily,IDR,approved,2022-01-05 05:53:42
74461,"","",2021-12-01,2021-12-31,3066515,3066515,3066515,3000000,monthly,IDR,approved,2022-01-05 06:15:19
74639,"","",2021-12-01,2021-12-31,976661,976661,976661,40000,daily,IDR,approved,2022-01-05 06:16:38
75834,"","",2021-12-01,2021-12-31,507000,507000,507000,90000,daily,IDR,approved,2022-01-05 06:18:59
83893,"","",2022-01-01,2022-01-31,4723444,4723444,4723444,65000,daily,IDR,approved,2022-01-21 08:23:45
74044,"","",2022-01-01,2022-01-31,5967956,5967956,5967956,3500000,monthly,IDR,approved,2022-01-21 08:24:10
79738,"","",2022-01-01,2022-01-31,5282963,5282963,5282963,65000,daily,IDR,approved,2022-01-21 08:25:00
74053,"","",2022-01-01,2022-01-31,4200552,4200552,4200552,3500000,monthly,IDR,approved,2022-02-04 05:14:47
84541,"","",2022-01-01,2022-01-31,711392,711392,711392,120000,daily,IDR,approved,2022-02-04 05:24:54
87864,"","",2022-01-01,2022-01-31,315527,315527,315527,120000,daily,IDR,approved,2022-02-04 05:26:24
74050,"","",2022-01-01,2022-01-31,3938395,3938395,3938395,1800000,monthly,IDR,approved,2022-02-04 05:27:51
74049,"","",2022-01-01,2022-01-31,3158395,3158395,3158395,1800000,monthly,IDR,approved,2022-02-04 05:33:11
74052,"","",2022-01-01,2022-01-31,1858395,1858395,1858395,1800000,monthly,IDR,approved,2022-02-04 05:35:18
74461,"","",2022-01-01,2022-01-31,3831746,3831746,3831746,3000000,monthly,IDR,approved,2022-02-04 05:40:15
74042,"","",2022-01-01,2022-01-31,3009900,3009900,3009900,2500000,monthly,IDR,approved,2022-02-04 05:50:09
83884,"","",2022-01-01,2022-01-31,3610389,3610389,3610389,3000000,monthly,IDR,approved,2022-02-04 06:10:11
83885,"","",2022-01-01,2022-01-31,3495377,3495377,3495377,3000000,monthly,IDR,approved,2022-02-04 06:15:50
74465,"","",2022-01-01,2022-01-31,1780389,1780389,1780389,45000,daily,IDR,approved,2022-02-04 06:20:31
74639,"","",2022-01-01,2022-01-31,628237,628237,628237,40000,daily,IDR,approved,2022-02-04 06:24:50
74054,"","",2022-01-01,2022-01-31,1882738,1882738,1882738,45000,daily,IDR,approved,2022-02-04 06:28:00
79765,"","",2022-01-01,2022-01-31,4347483,4347483,4347483,65000,daily,IDR,approved,2022-02-04 06:36:30
83894,"","",2022-01-01,2022-01-31,3392963,3392963,3392963,65000,daily,IDR,approved,2022-02-04 06:45:21
83888,"","",2022-01-01,2022-01-31,1707719,1707719,1707719,65000,daily,IDR,approved,2022-02-04 06:46:36
74027,"","",2022-01-01,2022-01-31,3544919,3544919,3544919,3500000,monthly,IDR,approved,2022-02-04 06:48:49
